task_id,service_id,cpu_load_kcycles,data_size_mbit,num_microservices,release_time,source_node,deadline_ms
300,60,1103.0,1207.94,6,152,7,255.15
301,60,409.26,174.01,1,150,4,220.46
302,60,214.0,549.07,6,139,5,210.7
303,60,350.75,224.6,22,178,3,217.54
304,60,279.24,533.34,9,152,3,213.96
305,61,10.0,85.02,17,133,2,200.5
306,61,68.52,867.69,10,156,6,203.43
307,61,157.47,714.23,4,172,3,207.87
308,61,696.91,833.52,17,173,7,234.85
309,61,1263.1,573.12,6,163,4,263.16
310,62,179.74,509.69,26,160,5,208.99
311,62,616.97,191.05,21,136,3,230.85
312,62,678.93,608.39,3,157,3,233.95
313,62,101.62,933.27,12,147,3,205.08
314,62,348.57,836.25,2,138,3,217.43
315,63,574.76,668.59,14,145,6,228.74
316,63,873.16,458.79,1,141,1,243.66
317,63,223.06,701.53,19,136,2,211.15
318,63,1081.68,99.87,11,175,2,254.08
319,63,757.78,638.47,4,155,5,237.89
320,64,830.18,601.17,11,142,0,241.51
321,64,378.31,473.04,9,197,0,218.92
322,64,422.14,795.52,14,170,6,221.11
323,64,1159.86,712.81,14,160,4,257.99
324,64,527.56,10.0,2,166,2,226.38
325,65,696.68,1111.09,7,138,1,234.83
326,65,1013.18,458.22,17,175,2,250.66
327,65,755.71,226.19,8,166,7,237.79
328,65,849.05,606.06,12,167,6,242.45
329,65,163.87,456.02,15,158,5,208.19
330,66,894.47,1155.99,22,154,3,244.72
331,66,718.2,230.31,15,156,0,235.91
332,66,532.11,457.79,28,161,1,226.61
333,66,441.41,621.86,8,165,4,222.07
334,66,475.07,10.0,1,155,5,223.75
335,67,589.38,615.49,16,159,4,229.47
336,67,1319.26,650.94,13,164,0,265.96
337,67,539.64,1032.25,8,186,6,226.98
338,67,481.8,216.64,25,166,7,224.09
339,67,145.42,834.2,1,176,1,207.27
340,68,315.57,216.68,11,166,1,215.78
341,68,558.02,172.55,12,172,3,227.9
342,68,305.0,567.46,8,178,2,215.25
343,68,516.67,1518.73,13,155,6,225.83
344,68,690.98,523.34,13,156,5,234.55
345,69,10.0,1123.19,4,150,4,200.5
346,69,191.7,1006.28,11,179,5,209.58
347,69,411.21,933.44,3,150,5,220.56
348,69,930.03,711.23,7,171,7,246.5
349,69,476.52,361.76,13,175,3,223.83
350,70,435.52,376.79,1,159,3,221.78
351,70,882.09,300.69,16,179,7,244.1
352,70,881.75,1256.56,1,159,7,244.09
353,70,508.39,667.27,6,160,5,225.42
354,70,389.0,396.48,9,168,4,219.45
355,71,78.87,10.0,22,176,1,203.94
356,71,54.12,711.58,1,162,1,202.71
357,71,345.13,229.4,1,194,1,217.26
358,71,313.75,432.74,3,181,3,215.69
359,71,597.32,356.84,6,167,2,229.87
360,72,769.84,1284.28,12,167,3,238.49
361,72,636.52,804.31,19,202,2,231.83
362,72,640.31,934.31,12,163,3,232.02
363,72,548.41,342.08,10,180,5,227.42
364,72,148.22,494.61,9,199,1,207.41
365,73,1476.39,10.0,13,185,2,273.82
366,73,1441.32,922.42,1,198,3,272.07
367,73,468.0,1056.17,11,175,6,223.4
368,73,801.07,1433.3,8,208,7,240.05
369,73,523.7,931.82,11,190,3,226.19
370,74,758.72,881.25,4,177,0,237.94
371,74,862.78,10.0,14,160,7,243.14
372,74,854.74,733.8,15,190,0,242.74
373,74,212.05,890.02,13,194,2,210.6
374,74,407.61,10.0,3,163,1,220.38
375,75,459.07,10.0,11,171,7,222.95
376,75,270.97,849.17,2,213,2,213.55
377,75,517.87,363.24,4,204,5,225.89
378,75,583.21,1044.26,10,189,1,229.16
379,75,565.77,1015.71,1,195,1,228.29
380,76,667.83,594.63,16,191,6,233.39
381,76,291.36,1122.84,20,175,7,214.57
382,76,545.71,171.03,5,159,5,227.29
383,76,556.91,860.64,18,190,3,227.85
384,76,837.68,390.81,3,182,3,241.88
385,77,757.55,560.56,3,221,5,237.88
386,77,469.03,606.14,13,193,2,223.45
387,77,638.45,861.39,5,176,2,231.92
388,77,520.51,77.85,11,173,3,226.03
389,77,10.0,487.93,18,212,7,200.5
390,78,133.79,296.74,5,207,4,206.69
391,78,986.48,251.35,8,190,5,249.32
392,78,609.54,888.38,7,187,6,230.48
393,78,611.65,265.0,22,245,3,230.58
394,78,691.52,368.55,2,192,5,234.58
395,79,568.96,1091.95,14,176,4,228.45
396,79,159.86,412.79,1,194,5,207.99
397,79,774.21,120.62,1,217,1,238.71
398,79,834.3,786.15,1,200,2,241.71
399,79,271.06,554.3,15,195,4,213.55
400,80,277.33,10.0,17,195,2,213.87
401,80,677.31,1296.5,12,220,7,233.87
402,80,573.19,410.72,11,197,2,228.66
403,80,593.62,559.97,21,206,3,229.68
404,80,487.65,714.84,4,177,2,224.38
405,81,730.5,1079.14,10,224,2,236.53
406,81,573.95,699.29,1,198,2,228.7
407,81,872.96,140.47,19,205,5,243.65
408,81,453.25,515.14,1,193,4,222.66
409,81,532.31,664.71,14,231,5,226.62
410,82,960.03,10.0,1,222,5,248.0
411,82,585.78,172.4,7,205,2,229.29
412,82,599.55,330.49,10,210,5,229.98
413,82,660.54,803.76,1,200,2,233.03
414,82,505.74,243.41,13,206,6,225.29
415,83,427.73,10.0,13,219,3,221.39
416,83,437.76,751.45,14,195,1,221.89
417,83,916.29,526.44,1,198,4,245.81
418,83,425.89,356.66,26,205,2,221.29
419,83,1548.76,10.0,4,209,3,277.44
420,84,545.12,540.21,11,204,3,227.26
421,84,873.41,10.0,14,207,0,243.67
422,84,213.82,337.19,10,244,2,210.69
423,84,10.0,1175.52,15,204,4,200.5
424,84,412.83,1064.42,16,211,3,220.64
425,85,303.11,182.92,6,203,5,215.16
426,85,559.68,674.7,1,206,7,227.98
427,85,817.55,307.85,13,214,4,240.88
428,85,10.0,776.09,5,201,4,200.5
429,85,798.49,434.99,1,182,3,239.92
430,86,155.36,766.53,15,212,5,207.77
431,86,328.8,793.69,13,205,7,216.44
432,86,10.0,260.63,21,218,2,200.5
433,86,539.98,10.0,11,206,5,227.0
434,86,49.08,920.78,15,229,0,202.45
435,87,245.77,715.52,2,201,6,212.29
436,87,477.74,934.99,16,236,2,223.89
437,87,692.54,54.46,17,201,0,234.63
438,87,1002.35,497.76,13,214,7,250.12
439,87,738.24,411.9,15,200,0,236.91
440,88,636.44,809.65,9,235,0,231.82
441,88,10.0,1039.9,1,212,7,200.5
442,88,342.19,10.0,13,202,3,217.11
443,88,816.24,1097.43,18,213,0,240.81
444,88,731.63,944.63,4,189,5,236.58
445,89,131.94,326.14,25,219,4,206.6
446,89,960.12,285.68,4,231,1,248.01
447,89,349.08,10.0,1,234,6,217.45
448,89,351.57,382.29,22,214,0,217.58
449,89,491.81,393.1,5,226,0,224.59
450,90,810.57,10.0,17,220,1,240.53
451,90,1011.69,547.7,2,231,5,250.58
452,90,618.78,466.65,10,202,3,230.94
453,90,534.39,149.64,11,233,5,226.72
454,90,155.52,827.51,16,219,3,207.78
455,91,459.83,97.21,22,232,2,222.99
456,91,583.04,1165.73,8,236,0,229.15
457,91,686.37,434.85,15,230,1,234.32
458,91,399.78,725.84,18,205,6,219.99
459,91,605.1,619.14,1,245,2,230.26
460,92,473.97,1127.3,10,218,7,223.7
461,92,817.84,704.99,20,255,1,240.89
462,92,946.17,267.98,15,246,2,247.31
463,92,775.02,222.91,11,227,6,238.75
464,92,1013.58,425.98,11,258,0,250.68
465,93,756.02,344.47,5,258,1,237.8
466,93,935.98,10.0,8,242,3,246.8
467,93,153.91,545.45,15,247,6,207.7
468,93,10.0,223.85,6,234,6,200.5
469,93,793.68,97.39,10,262,4,239.68
470,94,602.02,728.25,16,213,3,230.1
471,94,468.76,811.9,17,238,4,223.44
472,94,359.96,232.77,18,261,3,218.0
473,94,84.15,1079.61,18,226,0,204.21
474,94,244.58,570.08,8,222,1,212.23
475,95,402.73,821.17,33,236,6,220.14
476,95,607.71,104.88,1,247,6,230.39
477,95,978.46,313.38,14,258,3,248.92
478,95,516.48,216.17,1,216,0,225.82
479,95,299.18,91.84,1,222,6,214.96
480,96,290.45,545.02,4,242,5,214.52
481,96,614.34,816.43,13,236,4,230.72
482,96,501.01,631.13,1,242,0,225.05
483,96,727.3,496.99,17,239,0,236.36
484,96,114.67,447.17,6,242,0,205.73
485,97,808.31,628.09,11,250,4,240.42
486,97,799.06,612.25,21,260,7,239.95
487,97,396.38,390.04,24,233,4,219.82
488,97,410.72,463.95,12,216,7,220.54
489,97,98.55,465.12,18,256,3,204.93
490,98,563.39,980.03,5,248,2,228.17
491,98,545.3,386.69,6,250,3,227.27
492,98,415.15,1015.76,24,253,3,220.76
493,98,271.06,599.57,17,223,3,213.55
494,98,936.75,781.8,13,262,0,246.84
495,99,259.71,1102.57,16,255,5,212.99
496,99,565.4,716.56,12,255,4,228.27
497,99,976.75,602.5,21,239,2,248.84
498,99,304.37,64.15,3,235,3,215.22
499,99,782.77,844.18,3,252,1,239.14
500,100,373.72,943.34,19,239,6,218.69
501,100,895.96,790.87,14,237,7,244.8
502,100,215.5,685.28,14,240,6,210.77
503,100,453.05,1023.33,1,265,0,222.65
504,100,480.08,366.95,6,255,1,224.0
505,101,393.35,1068.21,13,237,6,219.67
506,101,594.85,687.71,12,223,3,229.74
507,101,680.74,916.74,1,257,4,234.04
508,101,320.73,10.0,19,261,5,216.04
509,101,190.48,945.34,15,234,1,209.52
510,102,807.11,599.72,26,268,1,240.36
511,102,570.12,71.21,18,259,2,228.51
512,102,668.14,10.0,8,263,3,233.41
513,102,501.95,786.15,11,250,7,225.1
514,102,501.11,904.59,25,246,7,225.06
515,103,393.49,1011.33,20,242,1,219.67
516,103,642.11,709.23,17,268,5,232.11
517,103,676.88,606.76,20,265,4,233.84
518,103,154.7,654.53,11,263,7,207.73
519,103,988.44,802.37,8,229,0,249.42
520,104,578.38,632.78,17,245,6,228.92
521,104,196.09,1096.81,16,239,4,209.8
522,104,746.1,486.55,12,280,3,237.31
523,104,253.96,10.0,13,257,1,212.7
524,104,446.69,236.16,4,261,1,222.33
525,105,466.52,191.59,4,244,3,223.33
526,105,305.07,18.72,16,249,6,215.25
527,105,75.51,10.0,1,246,1,203.78
528,105,385.93,10.0,17,267,4,219.3
529,105,953.6,453.64,8,255,3,247.68
530,106,10.0,467.76,9,256,1,200.5
531,106,240.81,10.0,3,249,1,212.04
532,106,704.51,334.35,19,268,0,235.23
533,106,504.96,359.18,16,265,3,225.25
534,106,481.4,880.58,19,263,3,224.07
535,107,630.16,10.0,7,293,0,231.51
536,107,123.47,359.52,12,275,6,206.17
537,107,528.59,568.21,31,258,7,226.43
538,107,248.82,256.85,5,286,4,212.44
539,107,968.28,1314.01,5,263,7,248.41
540,108,858.54,546.47,5,289,5,242.93
541,108,540.62,10.0,3,271,3,227.03
542,108,868.69,245.08,14,269,0,243.43
543,108,200.07,186.59,13,277,6,210.0
544,108,767.0,1136.41,9,253,1,238.35
545,109,1066.2,547.8,8,304,5,253.31
546,109,614.9,556.5,6,278,1,230.74
547,109,370.13,625.78,1,280,0,218.51
548,109,434.4,10.0,19,250,7,221.72
549,109,567.45,694.19,7,280,2,228.37
550,110,607.54,207.62,5,284,6,230.38
551,110,440.41,753.19,16,266,2,222.02
552,110,541.35,218.91,22,284,3,227.07
553,110,1009.85,931.2,1,260,5,250.49
554,110,786.59,850.42,2,269,2,239.33
555,111,505.75,591.88,21,275,2,225.29
556,111,589.52,477.92,1,278,5,229.48
557,111,105.92,841.52,13,261,2,205.3
558,111,1024.21,872.88,2,304,6,251.21
559,111,311.48,371.33,8,277,2,215.57
560,112,10.0,591.73,3,269,1,200.5
561,112,624.52,242.38,23,287,1,231.23
562,112,531.73,1005.48,17,289,3,226.59
563,112,520.04,930.77,3,291,1,226.0
564,112,651.91,570.89,13,280,4,232.6
565,113,72.62,677.11,2,307,7,203.63
566,113,436.34,119.23,10,265,6,221.82
567,113,29.8,651.34,10,280,6,201.49
568,113,635.2,327.71,9,247,6,231.76
569,113,177.05,588.51,8,294,6,208.85
570,114,897.74,10.0,9,301,1,244.89
571,114,584.84,383.72,1,278,2,229.24
572,114,109.6,693.78,5,280,4,205.48
573,114,340.01,590.28,13,283,6,217.0
574,114,302.53,681.4,1,298,7,215.13
575,115,522.78,10.0,2,302,2,226.14
576,115,310.91,10.0,8,307,4,215.55
577,115,773.75,443.48,19,334,3,238.69
578,115,242.97,277.78,23,284,2,212.15
579,115,368.52,284.74,11,290,2,218.43
580,116,27.09,641.42,10,297,2,201.35
581,116,418.45,260.07,7,285,5,220.92
582,116,425.44,980.21,11,288,6,221.27
583,116,10.0,508.2,11,278,0,200.5
584,116,10.0,409.74,15,280,0,200.5
585,117,180.34,977.27,9,278,7,209.02
586,117,675.06,448.19,18,308,2,233.75
587,117,446.53,10.0,14,290,0,222.33
588,117,154.44,213.99,13,296,3,207.72
589,117,556.04,77.96,1,292,1,227.8
590,118,273.26,919.48,8,276,2,213.66
591,118,176.44,142.03,23,284,0,208.82
592,118,468.13,533.39,5,291,1,223.41
593,118,170.28,175.17,5,307,3,208.51
594,118,632.9,880.62,10,285,6,231.65
595,119,79.72,524.18,1,270,2,203.99
596,119,696.51,754.26,5,330,3,234.83
597,119,542.54,298.43,5,287,5,227.13
598,119,387.55,84.58,1,300,1,219.38
599,119,299.3,117.0,1,327,0,214.96
600,120,96.32,1179.24,3,264,4,204.82
601,120,823.73,268.44,3,293,6,241.19
602,120,274.27,10.0,1,310,0,213.71
603,120,213.79,544.1,5,303,3,210.69
604,120,438.11,742.09,6,306,2,221.91
605,121,10.0,10.0,18,308,7,200.5
606,121,631.19,574.07,7,321,3,231.56
607,121,666.68,1471.71,13,290,2,233.33
608,121,282.73,734.53,15,278,7,214.14
609,121,705.1,477.82,6,295,5,235.26
610,122,203.64,161.26,12,304,7,210.18
611,122,858.57,691.28,19,325,1,242.93
612,122,10.0,281.66,21,310,7,200.5
613,122,715.04,10.0,3,326,1,235.75
614,122,731.58,676.52,8,296,7,236.58
615,123,762.1,301.09,4,313,6,238.1
616,123,158.69,985.04,15,299,5,207.93
617,123,474.98,10.0,23,299,6,223.75
618,123,716.34,133.49,17,296,6,235.82
619,123,899.66,590.64,20,304,4,244.98
620,124,321.47,386.85,1,283,6,216.07
621,124,480.35,631.14,5,282,3,224.02
622,124,601.41,17.19,20,306,5,230.07
623,124,997.46,814.52,1,304,4,249.87
624,124,710.86,914.29,23,335,5,235.54
625,125,535.37,431.46,16,322,3,226.77
626,125,195.57,355.41,26,287,2,209.78
